TEACHERID,TEACHEREMAIL,COURSENAME,URL
bbcqainst_1,bbcqainst_1@mailinator.com,Bb Consulting QA 101 Available Enabled - Continuous - No Term,https://techpreview.bbcollab.com/launch/eyJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJiYkNvbGxhYkFwaSIsInN1YiI6ImJiQ29sbGFiQXBpIiwiZXhwIjoxNTg3MTU4NTcwLCJyZXNvdXJjZUFjY2Vzc1RpY2tldCI6eyJyZXNvdXJjZUlkIjoiZmRmOTljOWE5ZWY2NDdmZjg4ZTE5MWEzNGUyMjQ1ZDkiLCJjb25zdW1lcklkIjoiZDg1ZTA3MjE1MDYyNGEwNjhhYzhiYzM1NjgzMWMyODciLCJ0eXBlIjoiU0VTU0lPTl9DTEEiLCJyZXN0cmljdGlvbiI6eyJ0eXBlIjoiVElNRSIsImV4cGlyYXRpb25Ib3VycyI6MCwiZXhwaXJhdGlvbk1pbnV0ZXMiOjUsIm1heFJlcXVlc3RzIjowfSwiZGlzcG9zaXRpb24iOiJMQVVOQ0giLCJsYXVuY2hUeXBlIjoiRU5ST0xMRUUiLCJsYXVuY2hDb21wb25lbnQiOm51bGwsImxhdW5jaFBhcmFtS2V5IjpudWxsfSwiaWF0IjoxNTg3MTU4MjcwfQ.j6tMlId5108o81X3bUwJ3IeSUN2QrnxGhrNnGu88ZPk
bbcqainst_7,bbcqainst_7@mailinator.com,"Bb Co,nsulting QA 101 Available Enabled - Continuous - No Term",https://techpreview.bbcollab.com/launch/eyJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJiYkNvbGxhYkFwaSIsInN1YiI6ImJiQ29sbGFiQXBpIiwiZXhwIjoxNTg3MTU4NTcxLCJyZXNvdXJjZUFjY2Vzc1RpY2tldCI6eyJyZXNvdXJjZUlkIjoiZDRmMjVhMTY4NTFhNGQxNjkxZDQxMGYyMDEyM2QyNzgiLCJjb25zdW1lcklkIjoiZDg1ZTA3MjE1MDYyNGEwNjhhYzhiYzM1NjgzMWMyODciLCJ0eXBlIjoiU0VTU0lPTl9DTEEiLCJyZXN0cmljdGlvbiI6eyJ0eXBlIjoiVElNRSIsImV4cGlyYXRpb25Ib3VycyI6MCwiZXhwaXJhdGlvbk1pbnV0ZXMiOjUsIm1heFJlcXVlc3RzIjowfSwiZGlzcG9zaXRpb24iOiJMQVVOQ0giLCJsYXVuY2hUeXBlIjoiRU5ST0xMRUUiLCJsYXVuY2hDb21wb25lbnQiOm51bGwsImxhdW5jaFBhcmFtS2V5IjpudWxsfSwiaWF0IjoxNTg3MTU4MjcxfQ.ILrdMh3RhWYJdO9FwkqQwqFs5mYda6Y0-e8DCWl7PF0
"bbcq,ainst_3",bbcqainst_3@mailinator.com,Bb Consulting QA 101 Available Enabled - Continuous - No Term,https://techpreview.bbcollab.com/launch/eyJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJiYkNvbGxhYkFwaSIsInN1YiI6ImJiQ29sbGFiQXBpIiwiZXhwIjoxNTg3MTU4NTcyLCJyZXNvdXJjZUFjY2Vzc1RpY2tldCI6eyJyZXNvdXJjZUlkIjoiNGFiMWMxMzVhNjAzNGU4NmFlNjAwMjhhNjk3NTdlN2UiLCJjb25zdW1lcklkIjoiZDg1ZTA3MjE1MDYyNGEwNjhhYzhiYzM1NjgzMWMyODciLCJ0eXBlIjoiU0VTU0lPTl9DTEEiLCJyZXN0cmljdGlvbiI6eyJ0eXBlIjoiVElNRSIsImV4cGlyYXRpb25Ib3VycyI6MCwiZXhwaXJhdGlvbk1pbnV0ZXMiOjUsIm1heFJlcXVlc3RzIjowfSwiZGlzcG9zaXRpb24iOiJMQVVOQ0giLCJsYXVuY2hUeXBlIjoiRU5ST0xMRUUiLCJsYXVuY2hDb21wb25lbnQiOm51bGwsImxhdW5jaFBhcmFtS2V5IjpudWxsfSwiaWF0IjoxNTg3MTU4MjcyfQ.GeX7rd-D1lpfY2LlOlkay6jq5Kv6QfioM4wYqnDwAlA
bbcqainst_4,bbcqainst_4@mailinator.com,Bb Consulting QA 101 Available Enabled - Continuous - No Term,https://techpreview.bbcollab.com/launch/eyJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJiYkNvbGxhYkFwaSIsInN1YiI6ImJiQ29sbGFiQXBpIiwiZXhwIjoxNTg3MTU4NTczLCJyZXNvdXJjZUFjY2Vzc1RpY2tldCI6eyJyZXNvdXJjZUlkIjoiY2Q5ODQ3MDMxMjlhNDdkMzhlMDUxM2VmOTIyZWNhZTUiLCJjb25zdW1lcklkIjoiZDg1ZTA3MjE1MDYyNGEwNjhhYzhiYzM1NjgzMWMyODciLCJ0eXBlIjoiU0VTU0lPTl9DTEEiLCJyZXN0cmljdGlvbiI6eyJ0eXBlIjoiVElNRSIsImV4cGlyYXRpb25Ib3VycyI6MCwiZXhwaXJhdGlvbk1pbnV0ZXMiOjUsIm1heFJlcXVlc3RzIjowfSwiZGlzcG9zaXRpb24iOiJMQVVOQ0giLCJsYXVuY2hUeXBlIjoiRU5ST0xMRUUiLCJsYXVuY2hDb21wb25lbnQiOm51bGwsImxhdW5jaFBhcmFtS2V5IjpudWxsfSwiaWF0IjoxNTg3MTU4MjczfQ.kagLT4BfJ2krBDjMmxzQ_V3PpQOypJUiRLWSRp2xZJc
bbcqainst_9,bbcqainst_9@mailinator.com,No instructor name,https://techpreview.bbcollab.com/launch/eyJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJiYkNvbGxhYkFwaSIsInN1YiI6ImJiQ29sbGFiQXBpIiwiZXhwIjoxNTg3MTU4NTc0LCJyZXNvdXJjZUFjY2Vzc1RpY2tldCI6eyJyZXNvdXJjZUlkIjoiY2ZiZTRhN2Q4ZjA4NGIzYjlmMzA0OWYwNmVhYjBiMWMiLCJjb25zdW1lcklkIjoiZDg1ZTA3MjE1MDYyNGEwNjhhYzhiYzM1NjgzMWMyODciLCJ0eXBlIjoiU0VTU0lPTl9DTEEiLCJyZXN0cmljdGlvbiI6eyJ0eXBlIjoiVElNRSIsImV4cGlyYXRpb25Ib3VycyI6MCwiZXhwaXJhdGlvbk1pbnV0ZXMiOjUsIm1heFJlcXVlc3RzIjowfSwiZGlzcG9zaXRpb24iOiJMQVVOQ0giLCJsYXVuY2hUeXBlIjoiRU5ST0xMRUUiLCJsYXVuY2hDb21wb25lbnQiOm51bGwsImxhdW5jaFBhcmFtS2V5IjpudWxsfSwiaWF0IjoxNTg3MTU4Mjc0fQ.4Io_gW3c_fFcGr76EjVGUIoOEHs9jPv1zAWcWSVwa3g
,bbcqainst_9@mailinator.com,No instructor id,https://techpreview.bbcollab.com/launch/eyJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJiYkNvbGxhYkFwaSIsInN1YiI6ImJiQ29sbGFiQXBpIiwiZXhwIjoxNTg3MTU4NTc1LCJyZXNvdXJjZUFjY2Vzc1RpY2tldCI6eyJyZXNvdXJjZUlkIjoiZjgyNzJiYTQ3MzU3NDRlYzljZTNkMjllZjFmMjFiYjMiLCJjb25zdW1lcklkIjoiZDg1ZTA3MjE1MDYyNGEwNjhhYzhiYzM1NjgzMWMyODciLCJ0eXBlIjoiU0VTU0lPTl9DTEEiLCJyZXN0cmljdGlvbiI6eyJ0eXBlIjoiVElNRSIsImV4cGlyYXRpb25Ib3VycyI6MCwiZXhwaXJhdGlvbk1pbnV0ZXMiOjUsIm1heFJlcXVlc3RzIjowfSwiZGlzcG9zaXRpb24iOiJMQVVOQ0giLCJsYXVuY2hUeXBlIjoiRU5ST0xMRUUiLCJsYXVuY2hDb21wb25lbnQiOm51bGwsImxhdW5jaFBhcmFtS2V5IjpudWxsfSwiaWF0IjoxNTg3MTU4Mjc1fQ.9RhAuQl-KVlcMrpy1uz3N3JYNx5-6BY363eYtuibcqk
bbcqainst_9,bbcqainst_9@mailinator.com,,https://techpreview.bbcollab.com/launch/eyJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJiYkNvbGxhYkFwaSIsInN1YiI6ImJiQ29sbGFiQXBpIiwiZXhwIjoxNTg3MTU4NTc2LCJyZXNvdXJjZUFjY2Vzc1RpY2tldCI6eyJyZXNvdXJjZUlkIjoiMDQ5MDYzN2U5ZGUzNDYzNDgxYjVlODA0MDg4NzIxODUiLCJjb25zdW1lcklkIjoiZDg1ZTA3MjE1MDYyNGEwNjhhYzhiYzM1NjgzMWMyODciLCJ0eXBlIjoiU0VTU0lPTl9DTEEiLCJyZXN0cmljdGlvbiI6eyJ0eXBlIjoiVElNRSIsImV4cGlyYXRpb25Ib3VycyI6MCwiZXhwaXJhdGlvbk1pbnV0ZXMiOjUsIm1heFJlcXVlc3RzIjowfSwiZGlzcG9zaXRpb24iOiJMQVVOQ0giLCJsYXVuY2hUeXBlIjoiRU5ST0xMRUUiLCJsYXVuY2hDb21wb25lbnQiOm51bGwsImxhdW5jaFBhcmFtS2V5IjpudWxsfSwiaWF0IjoxNTg3MTU4Mjc2fQ.T-5nilmoWmrhtGAWMclOljGsu8YRg-SMzAUus3aN3-A
bbcqainst_9,bbcqainst_9@mailinator.com,No course id,https://techpreview.bbcollab.com/launch/eyJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJiYkNvbGxhYkFwaSIsInN1YiI6ImJiQ29sbGFiQXBpIiwiZXhwIjoxNTg3MTU4NTc3LCJyZXNvdXJjZUFjY2Vzc1RpY2tldCI6eyJyZXNvdXJjZUlkIjoiMzJmY2NkOWRjMzYyNDc0NTgwZGMxNjg0MmJjYmIxYTMiLCJjb25zdW1lcklkIjoiZDg1ZTA3MjE1MDYyNGEwNjhhYzhiYzM1NjgzMWMyODciLCJ0eXBlIjoiU0VTU0lPTl9DTEEiLCJyZXN0cmljdGlvbiI6eyJ0eXBlIjoiVElNRSIsImV4cGlyYXRpb25Ib3VycyI6MCwiZXhwaXJhdGlvbk1pbnV0ZXMiOjUsIm1heFJlcXVlc3RzIjowfSwiZGlzcG9zaXRpb24iOiJMQVVOQ0giLCJsYXVuY2hUeXBlIjoiRU5ST0xMRUUiLCJsYXVuY2hDb21wb25lbnQiOm51bGwsImxhdW5jaFBhcmFtS2V5IjpudWxsfSwiaWF0IjoxNTg3MTU4Mjc3fQ.ABDfsuppzb2iGarkmXsuvV9MCHpEtaDIXn4wIYegrzE
bbcqainst_1,bbcqainst_1@mailinator.com,Bb Consulting QA 101 Available Enabled - Continuous - No Term,https://techpreview.bbcollab.com/launch/eyJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJiYkNvbGxhYkFwaSIsInN1YiI6ImJiQ29sbGFiQXBpIiwiZXhwIjoxNTg3MTU4NTc4LCJyZXNvdXJjZUFjY2Vzc1RpY2tldCI6eyJyZXNvdXJjZUlkIjoiYzYxMzg5ZGI0Y2JiNDI5OWI2M2VkZjU3MzE3OThmYTAiLCJjb25zdW1lcklkIjoiZDg1ZTA3MjE1MDYyNGEwNjhhYzhiYzM1NjgzMWMyODciLCJ0eXBlIjoiU0VTU0lPTl9DTEEiLCJyZXN0cmljdGlvbiI6eyJ0eXBlIjoiVElNRSIsImV4cGlyYXRpb25Ib3VycyI6MCwiZXhwaXJhdGlvbk1pbnV0ZXMiOjUsIm1heFJlcXVlc3RzIjowfSwiZGlzcG9zaXRpb24iOiJMQVVOQ0giLCJsYXVuY2hUeXBlIjoiRU5ST0xMRUUiLCJsYXVuY2hDb21wb25lbnQiOm51bGwsImxhdW5jaFBhcmFtS2V5IjpudWxsfSwiaWF0IjoxNTg3MTU4Mjc4fQ.cOzg1BeS9M3fl099j5Cmac33RBzXyTVADQ3NpIs63Kc
bbcqainst_7,bbcqainst_7@mailinator.com,Bb Consulting QA 101 Available Enabled - Continuous - No Term,https://techpreview.bbcollab.com/launch/eyJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJiYkNvbGxhYkFwaSIsInN1YiI6ImJiQ29sbGFiQXBpIiwiZXhwIjoxNTg3MTU4NTc5LCJyZXNvdXJjZUFjY2Vzc1RpY2tldCI6eyJyZXNvdXJjZUlkIjoiZjc1MGNhYTVmYzcyNDZlNmI2MzJhMDg0OWVhZmE5MGIiLCJjb25zdW1lcklkIjoiZDg1ZTA3MjE1MDYyNGEwNjhhYzhiYzM1NjgzMWMyODciLCJ0eXBlIjoiU0VTU0lPTl9DTEEiLCJyZXN0cmljdGlvbiI6eyJ0eXBlIjoiVElNRSIsImV4cGlyYXRpb25Ib3VycyI6MCwiZXhwaXJhdGlvbk1pbnV0ZXMiOjUsIm1heFJlcXVlc3RzIjowfSwiZGlzcG9zaXRpb24iOiJMQVVOQ0giLCJsYXVuY2hUeXBlIjoiRU5ST0xMRUUiLCJsYXVuY2hDb21wb25lbnQiOm51bGwsImxhdW5jaFBhcmFtS2V5IjpudWxsfSwiaWF0IjoxNTg3MTU4Mjc5fQ.fqfDPdtH0BFiCMUjApqaqlPPBALLVivX7YFjPc36sKQ
